Título,ID do vídeo,Views,Likes,Comentários,Duração,Data de publicação,Descrição,Palavras-chave
Race Highlights | 2024 Belgian Grand Prix,pQaG0ay957M,6810972,130377,6387,PT8M9S,2024-07-28T15:48:59Z,"Catch up on all the key moments from the Belgian Grand Prix; a race filled with big strategy calls and a thrilling late-race chase. Read the full story about George Russell's disqualification 👉
https://f1.com/Belgium_Russell_Disqualified

For more F1® videos, visit https://www.Formula1.com

Follow F1®:
https://www.instagram.com/F1
https://www.facebook.com/Formula1/
https://www.twitter.com/F1
https://www.twitch.tv/formula1
https://www.tiktok.com/@f1

#F1 #BelgianGP","F1, Formula One, Formula 1, Sports, Sport, Action, GP, Grand Prix, Auto Racing, Motor Racing"
Race Highlights | 2024 Hungarian Grand Prix,YJ0NYHONwts,8878075,158905,11688,PT8M10S,2024-07-21T15:54:52Z,"Oscar Piastri takes his first Grand Prix victory, there's strategy tension at McLaren, and Lewis Hamilton and Max Verstappen collide. Catch up on the key moments from a dramatic Hungarian Grand Prix!

For more F1® videos, visit https://www.Formula1.com

Follow F1®:
https://www.instagram.com/F1
https://www.facebook.com/Formula1/
https://www.twitter.com/F1
https://www.twitch.tv/formula1
https://www.tiktok.com/@f1

#F1 #HungarianGP","F1, Formula One, Formula 1, Sports, Sport, Action, GP, Grand Prix, Auto Racing, Motor Racing"
Race Highlights | 2024 British Grand Prix,yPvoKz6tyJs,7493150,177179,7837,PT8M6S,2024-07-07T16:26:31Z,"Catch up on the key moments from a thrilling British Grand Prix which was filled with incredible drama from lights out to the final flag!

For more F1® videos, visit https://www.Formula1.com

Follow F1®:
https://www.instagram.com/F1
https://www.facebook.com/Formula1/
https://www.twitter.com/F1
https://www.twitch.tv/formula1
https://www.tiktok.com/@f1

#F1 #BritishGP","F1, Formula One, Formula 1, Sports, Sport, Action, GP, Grand Prix, Auto Racing, Motor Racing"
Race Highlights | 2024 Austrian Grand Prix,b0yb1zH2m7c,6259566,125287,7026,PT8M1S,2024-06-30T15:51:56Z,"High risk, high pressure... re-live one of the races of the season! 

For more F1® videos, visit https://www.Formula1.com

Follow F1®:
https://www.instagram.com/F1
https://www.facebook.com/Formula1/
https://www.twitter.com/F1
https://www.twitch.tv/formula1
https://www.tiktok.com/@f1

#F1 #AustrianGP","F1, Formula One, Formula 1, Sports, Sport, Action, GP, Grand Prix, Auto Racing, Motor Racing"
Race Highlights | 2024 Spanish Grand Prix,ojUQLuSqV4s,5376261,105323,3670,PT8M1S,2024-06-23T15:22:49Z,"Relive all the best moments from Barcelona, in a race that was loaded with tension and fierce battles for a spot on the podium!

For more F1® videos, visit https://www.Formula1.com

Follow F1®:
https://www.instagram.com/F1
https://www.facebook.com/Formula1/
https://www.twitter.com/F1
https://www.twitch.tv/formula1
https://www.tiktok.com/@f1

#F1 #SpanishGP","F1, Formula One, Formula 1, Sports, Sport, Action, GP, Grand Prix, Auto Racing, Motor Racing, 2024 Spanish Grand Prix, Spanish Grand Prix, Spanish, Spain, SpainGP, Spanish GP, Barcelona"
Race Highlights | 2024 Canadian Grand Prix,dLw1ao4-Akk,6392475,122761,4397,PT8M11S,2024-06-09T22:04:55Z,"Wet weather and a three-way fight for victory provided us with an absolute classic in Canada!

For more F1® videos, visit https://www.Formula1.com

Follow F1®:
https://www.instagram.com/F1
https://www.facebook.com/Formula1/
https://www.twitter.com/F1
https://www.twitch.tv/formula1
https://www.tiktok.com/@f1

#F1 #CanadianGP","F1, Formula One, Formula 1, Sports, Sport, Action, GP, Grand Prix, Auto Racing, Motor Racing"
Race Highlights | 2024 Monaco Grand Prix,aeCI0ObFY8M,9009954,168559,6858,PT8M8S,2024-05-26T16:21:02Z,"Catch up on the key moments from a thrilling 70th Monaco Grand Prix that was brimming with action and excitement.

For more F1® videos, visit https://www.Formula1.com

Follow F1®:
https://www.instagram.com/F1
https://www.facebook.com/Formula1/
https://www.twitter.com/F1
https://www.twitch.tv/formula1
https://www.tiktok.com/@f1

#F1 #MonacoGP","F1, Formula One, Formula 1, Sports, Sport, Action, GP, Grand Prix, Auto Racing, Motor Racing, Charles Leclerc, Ferrari, 2024 Monaco Grand Prix, Monaco Grand Prix, Monaco, Monaco GP"
Race Highlights | 2024 Emilia Romagna Grand Prix,wya4iAJLlzs,5593243,103088,3646,PT8M1S,2024-05-19T15:15:29Z,"After a two-year wait, we finally return to racing action at Imola, with a race that went right down the final lap!

For more F1® videos, visit https://www.Formula1.com

Follow F1®:
https://www.instagram.com/F1
https://www.facebook.com/Formula1/
https://www.twitter.com/F1
https://www.twitch.tv/formula1
https://www.tiktok.com/@f1

#F1 #ImolaGP","F1, Formula One, Formula 1, Sports, Sport, Action, GP, Grand Prix, Auto Racing, Motor Racing"
Race Highlights | 2024 Miami Grand Prix,9wiQqcKUahc,7604784,181840,6500,PT8M8S,2024-05-05T22:46:55Z,"Catch up on the key moments from a thrilling race in Miami which was filled with incredible drama and so much more.

For more F1® videos, visit https://www.Formula1.com

Follow F1®:
https://www.instagram.com/F1
https://www.facebook.com/Formula1/
https://www.twitter.com/F1
https://www.twitch.tv/formula1
https://www.tiktok.com/@f1

#F1","F1, Formula One, Formula 1, Sports, Sport, Action, GP, Grand Prix, Auto Racing, Motor Racing"
Race Highlights | 2024 Chinese Grand Prix,hh4prBn66Dc,6708040,116882,4635,PT8M10S,2024-04-21T09:54:18Z,"Catch up on the key moments from Shanghai - a race featuring a first home Grand Prix for Zhou Guanyu, plenty of overtakes and much more.

For more F1® videos, visit https://www.Formula1.com

Follow F1®:
https://www.instagram.com/F1
https://www.facebook.com/Formula1/
https://www.twitter.com/F1
https://www.twitch.tv/formula1
https://www.tiktok.com/@f1

#F1 #ChineseGP","F1, Formula One, Formula 1, Sports, Sport, Action, GP, Grand Prix, Auto Racing, Motor Racing, 2024 Chinese Grand Prix, Chinese Grand Prix, Chinese, China, ChinaGP, Chinese GP, Shanghai"
Race Highlights | 2024 Japanese Grand Prix,Z3-IulIyBtU,7174158,131544,4765,PT8M2S,2024-04-07T07:32:56Z,"Check out the best moments of the 2024 Japanese Grand Prix - a race featuring a dramatic start, memorable overtakes and much more!

For more F1® videos, visit https://www.Formula1.com

Follow F1®:
https://www.instagram.com/F1
https://www.facebook.com/Formula1/
https://www.twitter.com/F1
https://www.twitch.tv/formula1
https://www.tiktok.com/@f1

#F1","F1, Formula One, Formula 1, Sports, Sport, Action, GP, Grand Prix, Auto Racing, Motor Racing, 2024 Japanese Grand Prix, Japanese Grand Prix, Japanese, Japan, JapanGP, Japanese GP, Suzuka"
Race Highlights | 2024 Australian Grand Prix,9z8sEadieXA,9660946,207775,7097,PT8M15S,2024-03-24T06:25:42Z,"Catch highlights of a chaotic race in Australia, with shock retirements, incredible racing and a memorable winning drive.

For more F1® videos, visit https://www.Formula1.com

Follow F1®:
https://www.instagram.com/F1
https://www.facebook.com/Formula1/
https://www.twitter.com/F1
https://www.twitch.tv/formula1
https://www.tiktok.com/@f1

#F1","F1, Formula One, Formula 1, Sports, Sport, Action, GP, Grand Prix, Auto Racing, Motor Racing, 2024 Australian Grand Prix, Australian Grand Prix, Australian, Australia, AusGP, Australian GP, Melbourne"
Race Highlights | 2024 Saudi Arabian Grand Prix,OJ56MAGFPGM,6648978,122918,5158,PT8M7S,2024-03-09T18:58:37Z,"Get ready for the thrill of the Saudi Arabian Grand Prix! Watch as Max Verstappen continues his title defence. But keep an eye on rookie Oliver Bearman, who’s looking to score points in his F1 debut!

For more F1® videos, visit https://www.Formula1.com

Follow F1®:
https://www.instagram.com/F1
https://www.facebook.com/Formula1/
https://www.twitter.com/F1
https://www.twitch.tv/formula1
https://www.tiktok.com/@f1

#F1","F1, Formula One, Formula 1, Sports, Sport, Action, GP, Grand Prix, Auto Racing, Motor Racing, Oliver Bearman"
Race Highlights | 2024 Bahrain Grand Prix,9Y5wMpKXNK4,6515364,132634,8879,PT7M22S,2024-03-02T17:20:52Z,"Lunges, lockups and intra-team tussles - watch the best moments from the 2024 season opener in Bahrain.

For more F1® videos, visit https://www.Formula1.com

Follow F1®:
https://www.instagram.com/F1
https://www.facebook.com/Formula1/
https://www.twitter.com/F1
https://www.twitch.tv/formula1
https://www.tiktok.com/@f1

#F1","F1, Formula One, Formula 1, Sports, Sport, Action, GP, Grand Prix, Auto Racing, Motor Racing"
